fileName,Max Dep Ref,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
vkaminski_001_1_2_1.pst.159.xls,Escalation:A20,14,0,14,0
stacey_white_000_1_1.pst.279.xls,BRA Power:A6,28,0,27,0
matthew_lenhart_001_1_1.pst.173.xls,OP.Power Desk Daily Price:B7,3,0,3,0
john_arnold_000_1_2.pst.354.xls,WinsTrades:E12,3,0,3,0
robin_rodrigue_000_1_1.pst.199.xls,Months:F4,4,1,4,1
vkaminski_000_1_1_1.pst.23.xls,CashFlow:B3,2,0,2,0
john_lavorato_001_1_1_1.pst.94.xls,CP Trade Data:F3,14,0,10,0
darron_c_giron_002_1_1_1.pst.157.xls,30 Year:J3,7,0,5,0
thomas_martin_000_1_1_1.pst.194.xls,Physical Non EOL (2):C5,5,0,5,0
joe_parks_000_1_1.pst.296.xls,Data:J2,2,0,1,0
andy_zipper_000_1_1.pst.81.xls,DD-ENA:F500,4,0,4,0
tracy_geaccone_000_1_1.pst.198.xls,EREC-EREC4:E33,86,0,86,0
joe_parks_000_1_1.pst.121.xls,Permian Matrix:A186,178,0,177,1
john_griffith_000_1_1.pst.26.xls,Sheet1:E11,5,1,5,1
cooper_richey_000_1_1.pst.30.xls,DATA:F1556,2,0,1,0
andy_zipper_000_1_1.pst.73.xls,DD-ENA:F500,4,0,4,0
jonathan_mckay_000_1_1.pst.113.xls,Normals:C3,1,1,1,1
mike_grigsby_000_1_1_1.pst.108.xls,Power Curve:J5,112,1,66,1
benjamin_rogers_001_1_1.pst.34.xls,Wheatland:Z66,45,0,45,0
larry_may_000_1_1.pst.311.xls,WEST GAMMA:CY2,0,0,0,0
robin_rodrigue_000_1_1.pst.133.xls,swap_model:B9,17,0,13,0
matthew_lenhart_001_1_1.pst.96.xls,OP.Power Desk Daily Price:B7,3,0,3,0
gerald_nemec_000_1_1.pst.11.xls,Cash Flows:B12,3037,27,3037,28
vkaminski_000_1_1_1.pst.281.xls,Expiration Dates:F9,5,0,3,0
vkaminski_000_1_1_1.pst.176.xls,ALUMINUM_S:B3288,7,0,5,0
jane_tholt_000_1_1.pst.18.xls,Assign To West Contracts:CI10,84,1,77,1
don_baughman_000_1_1.pst.147.xls,Sheet1:C20,37,1,21,1
darron_c_giron_000_1_1_1.pst.165.xls,Run Query:D25,1,0,1,0
andy_zipper_000_1_1.pst.65.xls,DD-ENA:F500,4,0,4,0
benjamin_rogers_001_1_1.pst.50.xls,Debt:E160,1154,10,1133,10
stacey_white_000_1_1.pst.300.xls,BRA Power:A6,28,0,27,1
