fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime,RR-Chain_Comp,RR-Chain_NoComp,RR_Comp,RR_NoComp,RF_Comp,RF_NoComp,FR_Comp,FR_NoComp,FF_Comp,FF_NoComp,RRGapOne_Comp,RRGapOne_NoComp,RRGapTwo_Comp,RRGapTwo_NoComp,RRGapThree_Comp,RRGapThree_NoComp,RRGapFour_Comp,RRGapFour_NoComp,RRGapFive_Comp,RRGapFive_NoComp,RRGapSix_Comp,RRGapSix_NoComp,RRGapSeven_Comp,RRGapSeven_NoComp,NoComp_Comp,NoComp_NoComp
В15УВ_02_20160115 full.xlsx,9860,24650,29577,7,4,234,1,4929,3,14790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
expoente_de_hurst.xlsx,116337,162867,195397,84,58,2353,4,18644,35,153456,0,0,0,0,7,13965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
四象限行业选择.xlsx,30884,61704,52343,385,229,578,1,4610,69,40231,0,0,0,0,155,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
aim120_amraap.xlsx,108536,111036,240169,184,218,3606,24,27726,129,150149,0,0,0,0,53,53040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
EURUSD.xlsx,92253,113232,117411,46,29,1634,2,8386,25,100639,0,0,0,0,2,8386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMISIONES-- NOxxxxxxxxxxxxx    --- 2 0 1 5.xlsx,52875,138569,135587,9349,7144,3349,950,41232,2536,90695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3658,3658
Ind Cafe_Dimensiones - tabla de hechos.xlsx,16626,16639,16626,26,13,76,13,16626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMISIONES----OBRADOR---A G O S T O      2016.xlsx,76083,127366,106471,9911,4995,2209,12,31376,2505,72612,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2473,2473
REMISIONES----OBRADOR---JUNIO    2016.xlsx,62103,98415,85062,8995,4526,1730,10,27561,2257,55237,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2254,2254
EarlyRetirementNow SWR Toolbox v2.0.xlsx,78410,120508,174647,331,242,2185,23,15459,112,111474,0,0,0,0,63,20589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44
REMISIONES-- E N E R O         --- 2 0 1 6.xlsx,56311,142383,138947,9665,7304,3199,951,45289,2594,89897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3759,3759
CPIvs行业.xlsx,210534,252451,489081,158,143,7534,14,55958,95,357126,0,0,1,3997,15,35110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18
Budget_Plan_Project_20180803-form.xlsx,32100,80153,64102,75,55,873,1,3999,11,36043,0,0,3,11997,24,12047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
В06УН_01_20160105 full.xlsx,7692,19230,23073,7,4,228,1,3845,3,11538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRKT-TRKR_2020-05-19T UPTREND31 to  Sundeep.xlsx,64809,99361,100515,1982,1300,1776,128,19672,419,67568,0,0,0,0,38,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,715
REMISIONES-- FEBRERO          --- 2 0 1 6.xlsx,50937,136456,133103,9428,7185,3092,949,40779,2513,88597,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3721,3721
AdimAdimVeriMadencisi-07_RapidMiner-01_RegresyonBitcoin.xlsx,12704,15884,22228,13,9,207,2,6351,5,15875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Signals.xlsx,37953,85746,111803,132,117,1686,17,17984,95,93814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
211018 BTC 2012년부터 변동성 돌파 확인.xlsx,61173,113282,139670,105,76,1865,7,17734,36,95866,0,0,3,8679,6,8691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24
Bairros.xlsx,11076,16755,16618,40,24,119,8,5534,10,5665,0,0,0,0,6,5419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1CD.xlsx,169964,432190,269482,111,57,2733,4,5055,42,264416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
Totalen per rekeningcode Jaarrekening 2015 provincie Groningen.xlsx,24893,34442,30859,23,17,246,4,5966,13,24893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ВАТ06ОВ_02_20151120 full.xlsx,5424,13560,16269,7,4,110,1,2711,3,8136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Totalen per rekeningcode begroting 2016 provincie Groningen.xlsx,16346,23020,22166,37,23,226,8,5816,15,16350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Combined Packet Configurator (1.6.22).xlsx,12222,22564,27755,819,774,302,0,0,80,19862,0,0,0,0,20,7205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,674
Demand Forecasting.xlsx,52536,73277,88615,116,113,1488,2,2698,68,74416,0,0,0,0,29,11246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
matriz actualizada.xlsx,152531,179043,522890,259,275,11482,46,112457,189,410325,0,0,0,0,6,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34
StromKurve_erstellen.xlsx,12372,14848,22265,13,10,193,1,2473,6,14842,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
hw_6_2.xlsx,12300,14765,24598,17,12,233,1,2459,5,12298,0,0,0,0,3,7380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
ALMACEN      AGOSTO         2016.xlsx,22872,57134,57240,603,391,579,54,15238,291,41919,0,0,0,0,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42
JUNIO RAUL  2016.xlsx,25680,63130,63203,733,476,640,63,16004,376,47150,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36
HeroDataTable.xlsx,282096,340234,387276,4329,2876,10668,234,10849,2469,376254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,173
three_factor_storage.xlsx,4772,4775,9543,8,5,75,1,2385,1,2386,0,0,0,0,2,4771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Champgnat-Boaventura_1998.xlsx,6872,16037,11454,8,5,102,1,2290,4,9164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zad5.xlsx,8602,17198,15045,17,13,126,1,2148,9,12894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Model Input Document Satisloh V1.1 LDS_Software - CPQ.xlsx,5122,10279,10501,28,19,76,2,3931,15,6567,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HESTA_Quote_Tool_Draft.xlsx,10438,10460,31288,45,39,305,4,8337,5,8339,0,0,0,0,3,6252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27
dailybriefingANALYSIS.xlsx,46985,65118,92082,290,217,1258,7,7962,205,76261,0,0,0,0,1,1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
