fileName,Longest Dep Ref,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
søknad_03_pisk_regnskap_v16.xlsx,BUDSJETT:E17,2,0,2,0
0to20.xlsx,DE:C7,2,0,1,0
1641177248Patrick Kenney - Amazing Products Sold (SFBA) - $40K - Women's Apparel - 8_23_21.xlsx,Sheet1:D43,8,0,4,0
exam_3.xlsx,Problem 5:D18,10,0,2,0
02-06-2018_104146Đề nghị mua của TPB theo danh sách từ ngày 16 - 31.01.2018-1.xlsx,Đề nghị mua hàng:D20,2,0,2,0
big+troubles.xlsx,Action List:AA15,0,0,0,0
MER_DataElements_Public.xlsx,des:Q826,3,0,2,0
SAM-0.05 OR5x100-0.75_6 dataset analysis.xlsx,State026:B47,6,0,1,0
StarterBook - tk06.xlsx,Formatted Data:L157,1,0,1,0
comuni_italiani.xlsx,comuni_italiani:E7538,1,1,1,1
2014.12 Thermal Decay .xlsx,C(T):B13,1850,11,617,12
WM3796_LT_timeseries_normalization.xlsx,WM3022_LT_timeseries_scaled:E26008,3,0,2,0
NH2012Trends_orig.xlsx,data_harmonization:A1238,108,1,4,1
part 4.xlsx,Prob 18:O3,77,1,21,1
Burnham Center for Chemical Genomics_edited_20121217_Ian_for_upload.xlsx,Assay Definition:A290,2,0,1,0
Cap 04_Censo SUAS 2017 RH_Final_V3.xlsx,CPOP Gráfico 5_OK:B49,11,0,6,0
RMS-RA数据核对2017-03-18.xlsx,RMS-RA数据核对:F9,4,0,4,0
realme stock 03.08.21.xlsx,Daily Report:F9,7,0,5,0
LLE_2040_2070.xlsx,Llei_HADGEM:A125,1,0,1,0
olist_groups1.xlsx,growths:B7,5,0,5,0
机器订单_2020-06-16.xlsx,订单:AG213,0,0,0,0
darrell_schoolcraft__7837__ONEOKRECAP2001.xlsx,July 01:A6,61,1,60,1
Master Security Classification.xlsx,Passive Allocation:D15,5,0,5,0
lisa_gang__22349__EES_Schedule.xlsx,EES-Schedule day 1:L8,11,0,11,0
Bleaching Data MAP Final.xlsx,Sheet1:G1475,1,0,1,0
