fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
StarterBookH Homework .xlsx,Bonus Backers Count:F42,402,6,0,1,0
10gen_stwd_pct.xlsx,Lt Gov to Voting Statistics:N13,68,17,1,17,1
KPMG_file.xlsx,NewCustomerList:J259,532,3,0,1,0
Weather_Machakos-5PFA.xlsx,MK135PFA:K4613,2198,1,0,1,0
Supplemental_File_2.xlsx,find DE Mets in iAF1260:B43,2351,214,4,213,4
Weekly-covid-admissions-and-beds-publication-201105.xlsx,MV beds COVID:B57,88,760,5,760,6
Empoyee Master.xlsx,Corrections July 2019:G11,414,1,0,1,0
Input data.xlsx,Sheet2:N2180,324,7,0,6,0
工作簿1-20181122164802462.xlsx,不良明细:CEA5,102,2,0,1,0
big+troubles.xlsx,Action List:AA15,86,0,0,0,0
MER_DataElements_Public.xlsx,des:Q826,1368,3,0,2,0
covidImpact.xlsx,Sheet2:D29246,3748,1,0,1,0
SAM-0.05 OR5x100-0.75_6 dataset analysis.xlsx,State026:B47,504,6,0,1,0
StarterBook - tk06.xlsx,Formatted Data:L157,256,1,0,1,0
2014.12 Thermal Decay .xlsx,C(T):B13,570,1850,12,1850,13
LEITE_COMPOSIÇÃO.xlsx,Plan1:C273,276,16,1,15,1
Football Team Dataset MGSC661.xlsx,22:H12,146,1,0,1,0
WM3796_LT_timeseries_normalization.xlsx,WM3022_LT_timeseries_scaled:E26008,2950,3,0,2,0
NH2012Trends_orig.xlsx,data_harmonization:A1238,80,108,1,4,1
part 4.xlsx,Prob 18:O3,176,77,0,77,0
City Summary Template 1.xlsx,City Summary:K69,1778,5,0,4,0
体验课资料_双十一淘宝美妆数据.xlsx,体验课资料_双十一淘宝美妆数据:D6883,504,1,0,1,0
Burnham Center for Chemical Genomics_edited_20121217_Ian_for_upload.xlsx,Assay Definition:A290,65,2,0,1,0
olist_groups1.xlsx,growths:B7,87,5,0,5,0
机器订单_2020-06-16.xlsx,订单:AG213,37,0,0,0,0
spread_input_jul30_1_12h.xlsx,Truckstops:D767,131,3,0,3,0
Bleaching Data MAP Final.xlsx,Sheet1:G1475,209,1,0,1,0
MacIC-Portfolio-V1-Jan-28-2017.xlsx,Returns:R18,344,1172,8,1169,9
COVID-19%2BDaily%2Bdata%2B-%2BTrends%2Bin%2Bdaily%2BCOVID-19%2Bdata%2B-%2B16%2BNovember%2B2021.xlsx,Chart 3 - Archive ICU:A2,61,18,0,1,0
robin_rodrigue__33371__FTCan_Gas_Bench.xlsx,Detail:F4412,179,1,0,1,0
工作簿1 - 副本-20181123111607388.xlsx,不良明细:CEA5,174,2,0,1,0
工作簿1 - 副本-20181124094219781.xlsx,不良明细:CEA5,176,2,0,1,0
DR2 Voice Line Transcripts.xlsx,English Transcripts:I5635,222,2,1,1,1
short_msg_option_info_data.xlsx,备份:B14446,471,3,0,2,0
订单管理系统.xlsx,客户下单明细表:J13669,166,1,0,1,0
House_Election_Data_2008.xlsx,Cong Dist:BD4906,2018,6,0,3,0
LE2018 ward-by-ward results (updated 08.05.18)_ID.xlsx,Totals:X88,409,15,0,3,0
SoA TEMP V3.11.0.xlsx,Undergr (2):F1051,8641,87,1,8,1
AllDataShapeSimulation.xlsx,Raw Data:K3768,1175,1,0,1,0
Budget Doc.xlsx,Sheet1:AF10850,734,0,0,0,0
Gastos.xlsx,Iniciales (PRESUPUESTO):Z614,1634,138,2,136,2
Slots.xlsx,Char count by slot:B44,67,2,0,2,0
stop_totals.xlsx,Sheet1:F2168,176,1,0,1,0
2020-02-10 0820 Analysis.xlsx,data:N2,431,12083,107,1,112
september-2-2021.xlsx,TestingByDate (Test Date):C3,586,588,3,1,3
database_2016.xlsx,All data:I4705,585,3,0,1,0
