fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
MER_DataElements_Public.xlsx,de_currnames_namechange:B2,1254,5483,74,1,76
covidImpact.xlsx,Sheet2:H31168,2766,1,0,1,0
SAM-0.05 OR5x100-0.75_6 dataset analysis.xlsx,State026:B66,312,6,0,1,0
StarterBook - tk06.xlsx,Formatted Data:N671,320,2,0,1,0
2014.12 Thermal Decay .xlsx,Three Fourths 2pt:F7,451,2093,30,2089,31
LEITE_COMPOSIÇÃO.xlsx,Plan1:Q788,192,16,0,15,0
Football Team Dataset MGSC661.xlsx,22:I4,125,1,0,1,0
WM3796_LT_timeseries_normalization.xlsx,WM3022_LT_timeseries_scaled:D33629,2382,105120,1500,105120,1593
NH2012Trends_orig.xlsx,data_harmonization:B363,79,109,1,3,1
part 4.xlsx,Prob 23:L2265,164,7616,116,7616,121
City Summary Template 1.xlsx,City Summary:B58,1335,5,0,5,0
体验课资料_双十一淘宝美妆数据.xlsx,体验课资料_双十一淘宝美妆数据:D10727,341,1,0,1,0
Burnham Center for Chemical Genomics_edited_20121217_Ian_for_upload.xlsx,Assay Definition:A198,187,4,0,1,0
olist_groups1.xlsx,growths:C3,158,7,0,7,0
机器订单_2020-06-16.xlsx,订单:V8,114,5,1,5,1
spread_input_jul30_1_12h.xlsx,Truckstops:C599,145,4,0,2,0
Bleaching Data MAP Final.xlsx,Sheet1:H458,119,1,0,1,0
MacIC-Portfolio-V1-Jan-28-2017.xlsx,Portfolio Metrics:J4,378,12,0,6,0
COVID-19%2BDaily%2Bdata%2B-%2BTrends%2Bin%2Bdaily%2BCOVID-19%2Bdata%2B-%2B16%2BNovember%2B2021.xlsx,Table 4 - Delayed Discharges:B347946,98,251,1,1,1
robin_rodrigue__33371__FTCan_Gas_Bench.xlsx,Detail:E1797,146,1,0,1,0
工作簿1 - 副本-20181123111607388.xlsx,不良明细:CBJ5,157,2,0,1,0
工作簿1 - 副本-20181124094219781.xlsx,不良明细:CBJ5,95,2,0,1,0
DR2 Voice Line Transcripts.xlsx,English Transcripts:I5026,152,2,0,1,0
short_msg_option_info_data.xlsx,备份:B16111,865,3,0,2,0
订单管理系统.xlsx,客户下单明细表:J12018,229,2,0,2,0
House_Election_Data_2008.xlsx,Cong Dist:AR4006,1819,7,0,3,0
LE2018 ward-by-ward results (updated 08.05.18)_ID.xlsx,Totals:BA152,277,15,0,3,0
SoA TEMP V3.11.0.xlsx,Setup1:R2079,12277,4814,61,4813,64
AllDataShapeSimulation.xlsx,Raw Data:K5690,930,1,0,1,0
Budget Doc.xlsx,Sheet1:AG6818,496,0,0,0,0
Gastos.xlsx,Iniciales (PRESUPUESTO):BD15,1392,2,0,2,0
Slots.xlsx,Decomposition:A25560,110,5105,37,1,38
stop_totals.xlsx,Sheet1:F3129,82,1,0,1,0
2020-02-10 0820 Analysis.xlsx,data:N2,424,12083,125,1,129
september-2-2021.xlsx,TestingByDate (Test Date):F3,413,588,4,1,4
database_2016.xlsx,All data:J3936,450,7,0,2,0
ACI.xlsx,H=1.25-P=1.5:B322,212,2,0,2,0
indexes for automatovie sector.xlsx,ReferenceData:C1005,950,29704,1416,29645,1437
工作簿1-20181123115814614.xlsx,不良明细:CBJ5,137,2,0,1,0
NUKE.xlsx,20150310_NUKE.csv:S2345,2894,11,0,4,0
Processed Data-pre.xlsx,NormalData:AD553,100,55,1,55,1
recentAPIdata2019.xlsx,Sheet:N32501,2084,1,0,1,0
2019-06-19-0919_aristolochia_tormentosa.xlsx,Measurements:E13,333,6600,108,6600,112
employmentForecast_presto.xlsx,dataOrig:L539,81,11,0,11,0
StarterBook_SC.xlsx,Bonus:B10,318,9,0,9,0
工作簿1 - 副本-20181123095141663.xlsx,不良明细:CBJ5,108,2,0,1,0
GPSC_CTD_2016.4.25.xlsx,CTD:Q16844,155,1,0,1,0
ML_Flatsheet_Revised.Asset.xlsx,ML_Flatsheet_Revised Updated:H11641,79,1,0,1,0
ExampleStudy.xlsx,Sources:AA4,237,0,0,0,0
input_UC_iix2.xlsx,line_admittance:G6,5886,484,3,484,3
KickstarterChallengeWColDeletes.xlsx,OutcomesBasedOnGoals:D2,123,4,0,1,0
bank_term_deposit.xlsx,DAILY RANGE:C4,58,6,0,3,0
advance_excel_project.xlsx,Sheet7 (2):C4,141,4,0,1,0
工作簿1 - 副本-20181124102119337.xlsx,不良明细:CBJ5,98,2,0,1,0
qpcr_template_ottawa_wide.xlsx,Ottawa community data:AG5,141,4,0,2,0
Copy of mytable_customer_details- solution.xlsx,Table5_Dates:A19,1299,5,0,1,0
enem_2012.xlsx,Sheet1:K2049,71,1,0,1,0
Train_dataset (1).xlsx,Diuresis_TS:F7259,71,1,0,1,0
