fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
big+troubles.xlsx,Action List:T26,92,3098,1160,3098,1162
MER_DataElements_Public.xlsx,de_currnames_namechange:B2,1248,5483,65,1,66
covidImpact.xlsx,Sheet2:H31168,2950,1,0,1,0
SAM-0.05 OR5x100-0.75_6 dataset analysis.xlsx,State026:B66,337,6,0,1,0
StarterBook - tk06.xlsx,Formatted Data:N671,306,2,0,1,0
2014.12 Thermal Decay .xlsx,Three Fourths 2pt:F7,474,2093,42,2089,43
LEITE_COMPOSIÇÃO.xlsx,Plan1:Q788,275,16,0,15,0
Football Team Dataset MGSC661.xlsx,22:I4,135,1,0,1,0
WM3796_LT_timeseries_normalization.xlsx,WM3022_LT_timeseries_scaled:D33629,2541,105120,1417,105120,1511
NH2012Trends_orig.xlsx,data_harmonization:B363,75,109,0,3,1
part 4.xlsx,Prob 23:L2265,138,7616,108,7616,114
City Summary Template 1.xlsx,City Summary:B58,1418,5,0,5,0
体验课资料_双十一淘宝美妆数据.xlsx,体验课资料_双十一淘宝美妆数据:D10727,343,1,0,1,0
Burnham Center for Chemical Genomics_edited_20121217_Ian_for_upload.xlsx,Assay Definition:A198,82,4,0,1,0
olist_groups1.xlsx,growths:C3,160,7,0,7,0
机器订单_2020-06-16.xlsx,订单:V8,112,5,0,5,0
spread_input_jul30_1_12h.xlsx,Truckstops:C599,140,4,0,2,0
Bleaching Data MAP Final.xlsx,Sheet1:H458,178,1,0,1,0
MacIC-Portfolio-V1-Jan-28-2017.xlsx,Portfolio Metrics:J4,281,12,0,6,0
COVID-19%2BDaily%2Bdata%2B-%2BTrends%2Bin%2Bdaily%2BCOVID-19%2Bdata%2B-%2B16%2BNovember%2B2021.xlsx,Table 4 - Delayed Discharges:B347946,49,251,2,1,2
robin_rodrigue__33371__FTCan_Gas_Bench.xlsx,Detail:E1797,151,1,0,1,0
工作簿1 - 副本-20181123111607388.xlsx,不良明细:CBJ5,98,2,0,1,0
工作簿1 - 副本-20181124094219781.xlsx,不良明细:CBJ5,96,2,0,1,0
DR2 Voice Line Transcripts.xlsx,English Transcripts:I5026,209,2,0,1,0
short_msg_option_info_data.xlsx,备份:B16111,886,3,0,2,0
订单管理系统.xlsx,客户下单明细表:J12018,258,2,0,2,0
House_Election_Data_2008.xlsx,Cong Dist:AR4006,1856,7,0,3,0
LE2018 ward-by-ward results (updated 08.05.18)_ID.xlsx,Totals:BA152,346,15,0,3,0
SoA TEMP V3.11.0.xlsx,Setup1:R2079,12413,4814,60,4813,64
AllDataShapeSimulation.xlsx,Raw Data:K5690,1135,1,0,1,0
Budget Doc.xlsx,Sheet1:AG6818,586,0,1,0,1
Gastos.xlsx,Iniciales (PRESUPUESTO):BD15,1227,2,1,2,1
Slots.xlsx,Decomposition:A25560,114,5105,42,1,43
stop_totals.xlsx,Sheet1:F3129,62,1,0,1,0
2020-02-10 0820 Analysis.xlsx,data:N2,400,12083,121,1,124
september-2-2021.xlsx,TestingByDate (Test Date):F3,437,588,4,1,4
database_2016.xlsx,All data:J3936,464,7,0,2,0
ACI.xlsx,H=1.25-P=1.5:B322,241,2,0,2,0
indexes for automatovie sector.xlsx,ReferenceData:C1005,874,29704,1148,29645,1169
工作簿1-20181123115814614.xlsx,不良明细:CBJ5,229,2,0,1,0
NUKE.xlsx,20150310_NUKE.csv:S2345,3014,11,0,4,0
Processed Data-pre.xlsx,NormalData:AD553,102,55,0,55,0
recentAPIdata2019.xlsx,Sheet:N32501,1782,1,0,1,0
2019-06-19-0919_aristolochia_tormentosa.xlsx,Measurements:E13,333,6600,148,6600,154
employmentForecast_presto.xlsx,dataOrig:L539,80,11,0,11,0
StarterBook_SC.xlsx,Bonus:B10,282,9,0,9,0
工作簿1 - 副本-20181123095141663.xlsx,不良明细:CBJ5,142,2,0,1,0
GPSC_CTD_2016.4.25.xlsx,CTD:Q16844,192,1,0,1,0
ML_Flatsheet_Revised.Asset.xlsx,ML_Flatsheet_Revised Updated:H11641,342,1,0,1,0
ExampleStudy.xlsx,Sources:AA4,284,0,0,0,0
input_UC_iix2.xlsx,line_admittance:G6,5808,484,3,484,3
KickstarterChallengeWColDeletes.xlsx,OutcomesBasedOnGoals:D2,141,4,0,1,0
bank_term_deposit.xlsx,DAILY RANGE:C4,61,6,0,3,0
advance_excel_project.xlsx,Sheet7 (2):C4,148,4,0,1,0
工作簿1 - 副本-20181124102119337.xlsx,不良明细:CBJ5,98,2,0,1,0
qpcr_template_ottawa_wide.xlsx,Ottawa community data:AG5,136,4,0,2,0
Copy of mytable_customer_details- solution.xlsx,Table5_Dates:A19,1436,5,0,1,0
enem_2012.xlsx,Sheet1:K2049,59,1,0,1,0
